,Sales_in_thousands,__year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,car_segment,Ltime
0,50.3732,67.55,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,2011-07-11,135.9147096,3,1
1,52.6622,58.6,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,2011-03-17,139.9822936,3,1
2,57.275,40.375,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,2012-03-29,124.4467163,3,1
3,61.938,19.89,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2011-02-18,103.4416926,3,1
4,64.3548,50.375,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,2011-06-13,125.2738757,3,1
5,67.967,34.08,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,2011-09-25,102.5289842,3,1
6,72.7176,29.725,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,2011-03-10,91.38977933,3,1
7,73.7458,22.525,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2012-02-23,113.8545976,3,1
8,74.256,60.625,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,2012-12-21,134.3909754,3,1
9,82.5054,36.125,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,2011-04-04,83.9987238,3,1
10,85.1832,58.47,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,2011-08-07,188.144323,3,2
11,87.0676,23.575,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,2012-09-14,100.0248023,3,2
12,87.276,39.0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,2012-02-27,134.6568582,3,2
13,88.53960000000001,32.075,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,2012-05-10,94.9466984,3,2
14,89.5894,36.225,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,2012-05-12,141.14115,3,2
15,92.3072,25.725,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,2011-11-27,113.7658739,3,2
16,92.7964,41.25,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2012-02-19,93.4373307,3,2
17,95.7822,21.725,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,2012-06-04,93.9579169,3,2
18,99.7596,20.525,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,2012-08-03,113.5402069,3,2
19,104.5204,41.45,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,2011-07-12,98.2497375,3,2
20,123.6784,26.05,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,2011-04-24,78.28073088,2,3
21,123.9822,17.805,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,2012-06-16,81.49272616,2,3
22,124.5148,17.81,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,2011-09-25,72.29035508,2,3
23,130.5702,20.19,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,2012-03-23,85.82840825,2,3
24,136.022,20.94,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,2012-06-29,67.54415494,2,3
25,136.7426,19.69,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,2012-04-15,92.43688923,2,3
26,137.408,18.81,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,2011-12-10,80.38777912,2,3
27,138.0034,19.925,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,2011-09-21,80.51167259,2,3
28,144.87,13.74,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,2011-09-03,95.63670253,2,3
29,146.2058,19.49,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,2012-02-08,85.21769134,2,4
30,146.237,18.225,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,2011-09-28,83.48309358,2,4
31,146.6514,13.36,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,2011-07-23,84.25452581,2,4
32,146.7698,18.14,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,2011-08-31,84.91189826,2,4
33,147.6924,17.325,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,2012-05-08,101.3292807,2,4
34,153.8768,19.875,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,2011-06-03,91.37077766,2,4
35,154.4616,15.38,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,2011-03-07,71.17166413,2,4
36,158.2674,19.125,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,2012-01-17,83.92081504,2,4
37,174.756,23.555,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,2011-08-09,84.56510502,2,4
38,178.571,17.525,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,2012-10-09,83.6025008,2,4
39,184.8722,15.24,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,2011-06-25,76.09657042,2,5
40,185.9706,15.125,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,2011-05-06,89.42782031,2,5
41,192.5218,20.43,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,2008-02-13,85.94974425,2,5
42,192.8144,26.975,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,2012-07-09,87.21100104,2,5
43,193.8462,28.675,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,2012-01-29,81.87706856,2,5
44,215.3494,16.64,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,2012-04-25,87.63549578,2,5
45,221.0136,8.835,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,2012-08-20,67.35101072,1,5
46,221.2804,13.025,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,2011-10-23,81.11854333,1,5
47,221.8702,8.8,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,2012-12-19,50.99774761,1,5
48,242.6188,11.295,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,2011-08-02,63.31372783,1,6
49,242.9138,16.575,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,2011-05-31,48.90737225,1,6
50,245.2372,10.185,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,2011-10-31,67.87610784,1,6
51,245.5186,11.525,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,2011-12-22,72.03091719,1,6
52,246.5708,12.36,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,2012-01-16,65.95718396,1,6
53,248.8696,13.88,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,2012-05-18,70.66094179,1,6
54,250.6538,15.445,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,2012-12-29,56.49603034,1,6
55,252.4728,14.01,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,2012-10-15,78.31816813,1,6
56,259.076,14.795,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,2009-10-20,69.671461,1,6
57,263.5912,11.03,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,2012-09-22,62.23996663,1,7
58,265.9258,10.31,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,2011-05-24,69.9913956,1,7
59,266.2348,14.875,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,2012-07-24,80.65769646,1,7
60,266.2626,11.26,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,2011-11-25,49.64500177,1,7
61,267.3838,16.36,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2012-02-02,58.28014952,1,7
62,271.11220000000003,15.075,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,2012-08-16,89.40193473,2,7
63,271.2194,10.29,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,2012-11-26,70.38973726,1,7
64,271.555,14.18,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,2011-11-17,69.52135505,1,7
65,274.1112,13.775,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,2012-10-05,76.58443962,1,7
66,275.329,13.79,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,2012-01-25,62.0158703,1,8
67,277.4612,12.64,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,2011-10-06,53.56619987,1,8
68,291.6806,14.21,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,2011-09-26,80.49953671,1,8
69,292.6822,19.425,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,2011-03-07,62.35557713,1,8
70,295.3498,12.025,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,2011-09-01,61.22700031,1,8
71,296.163,10.055,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,2011-12-20,62.5037395,1,8
72,298.6738,12.76,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,2012-01-31,76.50918456,1,8
73,299.7442,13.24,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,2011-08-27,47.63823666,1,8
74,304.2204,16.725,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,2012-10-30,61.70138136,1,8
75,305.0252,11.225,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,2012-03-19,67.31446216,1,8
76,309.1232,10.595,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,2012-01-29,58.60677292,1,9
77,309.2224,11.24,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,2011-05-31,60.86161155,1,9
78,310.0212,13.325,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,2011-05-06,51.95510887,1,9
79,318.5082,10.395,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,2012-11-24,62.44196235,1,9
80,318.6406,17.71,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,2012-03-21,60.08796662,1,9
81,318.9468,12.545,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,2012-07-01,65.65050834,1,9
82,320.189,13.225,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,2011-05-18,82.6613556,1,9
83,320.3058,13.89,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,2012-02-23,51.11347426,1,9
84,322.1192,13.76,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,2011-04-01,47.94684106,1,9
85,325.0794,22.255,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,2011-10-08,62.7776392,1,9
86,326.3534,15.51,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,2012-01-06,71.13529161,1,10
87,328.1422,16.575,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,2012-08-28,84.83077858,1,10
88,330.048,9.8,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,2011-11-14,53.41189767,1,10
89,331.831,12.025,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,2011-04-24,60.95118512,1,10
90,332.2076,13.425,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,2012-07-26,70.07832154,1,10
91,335.1804,13.21,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,2012-05-20,54.26954829,1,10
92,338.4122,15.06,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,2012-03-06,90.21170005,1,10
93,346.3122,12.475,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,2011-11-02,71.18145132,1,10
94,352.2296,13.725,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,2012-06-06,80.02378204,1,10
95,367.1574,13.175,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,2012-02-25,62.09504839,1,10
96,380.5468,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,2011-04-26,52.08489875,0,11
97,381.5286,8.45,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,2011-08-31,50.24197791,0,11
98,389.1114,13.475,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,2012-03-04,48.67289791,0,11
99,389.9092,10.59,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,2011-03-16,40.70007242,0,11
100,390.5988,13.245,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,2011-02-10,54.37241965,1,11
101,391.0446,10.79,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,2011-01-15,49.86577367,0,11
102,397.4598,9.125,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,2011-09-11,48.2976361,0,11
103,408.2464,8.325,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,2012-04-23,45.83218056,0,11
104,419.1038,9.25,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,2011-08-17,46.36334747,0,11
105,440.507,10.025,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,2011-04-11,47.96897242,0,11
106,452.124,9.2,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,2012-08-16,39.98642475,0,12
107,463.8174,9.575,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,2011-08-01,55.29711658,0,12
108,465.2068,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,2011-12-12,52.08489875,0,12
109,474.89,8.91,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,2012-06-14,58.758249,0,12
110,479.371,5.16,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,2012-04-13,23.27627233,0,12
111,483.13,7.85,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,2012-01-14,47.38953131,0,12
112,484.2368,5.86,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,2012-09-10,36.67228358,0,12
113,488.3384,7.825,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,2011-11-15,54.59004516,0,12
114,497.0454,7.425,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,2012-03-31,44.08370946,0,12
115,497.9522,11.425,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,2011-01-24,46.94387676,0,12
116,539.937,9.85,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,2011-10-21,42.87909734,0,12
